,0,1,2,3,4,5,6
0,OP,Type,Syntax,N,Z,S,C
1,0000,ADD,A  ＋＝  B;,●,●,●,●
2,0001,ADC,"A  ＋＝  B, Carry;",●,●,●,●
3,0010,SUB,A  －＝  B;,●,●,●,●
4,0011,SBC,"A  －＝  B, Carry;",●,●,●,●
5,0100,CMP,"CMP A, B;",●,●,●,●
6,0110,NEG,A  ＝－  B;,●,●,-,-
7,1000,XOR,A    ^＝  B;,●,●,-,-
8,1001,LOAD,A      ＝  B;,●,●,-,-
9,1010,OR,A  ｜＝  B;,●,●,-,-
10,1011,AND,A  ＆＝  B;,●,●,-,-
11,1100,TEST,"TEST A, B;",●,●,-,-
12,1101,STORE,B  ＝  A;,-,-,-,-
