,0,1,2,3,4
0,Syntax,FIQ,IRQ,F,I
1,INT OFF,OFF,OFF,0,0
2,INT IRQ,OFF,ON,0,1
3,INT FIQ,ON,OFF,1,0
4,"INT FIQ,IRQ",ON,ON,1,1
